,사업자등록번호,데이터수집일자,조사년도,재무보고서구분코드,재무보고서명칭,매출액_재무제표계정과목금액,매출액_비율,매출액_증감율,영업이익_재무제표계정과목금액,영업이익_비율,영업이익_증감율,당기순이익_재무제표계정과목금액,당기순이익_비율,당기순이익_증감율
5,1058200006,20220225.0,2020.0,2.0,손익계산서,59984210.0,100.0,-9.76,2056670.0,3.43,-61.3,-2837018.0,-4.73,-693.89
8,1058200006,20220225.0,2019.0,2.0,손익계산서,66473075.0,100.0,-3.03,5314594.0,8.0,0.11,-357358.0,-0.54,77.1
11,1058200006,20220225.0,2018.0,2.0,손익계산서,68551811.0,100.0,-20.48,5308540.0,7.74,-191.3,-1560747.0,-2.28,-69.75
14,1058200006,20220225.0,2017.0,2.0,손익계산서,86210282.0,100.0,17.49,-5814455.0,-6.74,1930.79,-5159621.0,-5.98,-1097.62
22,1388200010,20220306.0,2020.0,2.0,손익계산서,27728355.0,100.0,-0.61,1095562.0,3.95,31.11,1255568.0,4.53,6.24
25,1388200010,20220306.0,2019.0,2.0,손익계산서,27898473.0,100.0,7.97,835620.0,3.0,360.26,1181776.0,4.24,-1178.19
28,1388200010,20220306.0,2018.0,2.0,손익계산서,25838183.0,100.0,24.16,181553.0,0.7,-104.59,-109607.0,-0.42,-89.38
31,1388200010,20220306.0,2017.0,2.0,손익계산서,20810765.0,100.0,-5.88,-3956550.0,-19.01,54.28,-1031867.0,-4.96,-20.59
36,3148200012,20220308.0,2020.0,2.0,손익계산서,6869598346.0,100.0,20.01,-344838.0,-0.01,64.84,-inf,-inf,-inf
40,3178100014,20220307.0,2020.0,2.0,손익계산서,375818.0,100.0,33.08,31548.0,8.39,111.94,30520.0,8.12,124.03
43,3178100014,20220307.0,2019.0,2.0,손익계산서,282407.0,100.0,-4.96,14885.0,5.27,41.08,13623.0,4.82,32.27
56,2298100025,20210914.0,2016.0,2.0,손익계산서,10322390.0,100.0,3.0,871900.0,8.45,28.0,781956.0,7.58,51.39
59,2298100025,20210914.0,2017.0,2.0,손익계산서,10124403.0,100.0,-1.92,671143.0,6.63,-23.03,42332.0,0.42,-94.59
62,2298100025,20210914.0,2018.0,2.0,손익계산서,7488607.0,100.0,-26.03,25511.0,0.34,-96.2,586553.0,7.83,1285.6
65,2298100025,20210914.0,2019.0,2.0,손익계산서,8826228.0,100.0,17.86,-224940.0,-2.55,-981.74,-1094351.0,-12.4,-286.57
68,2298100025,20210914.0,2020.0,2.0,손익계산서,11672565.0,100.0,32.25,2278410.0,19.52,1112.9,1444235.0,12.37,231.97
71,1168100026,20210914.0,2016.0,2.0,손익계산서,18306657.0,100.0,-5.54,580582.0,3.17,-9.13,321166.0,1.75,3.25
72,1168100026,20210914.0,2017.0,2.0,손익계산서,20501387.0,100.0,11.99,690523.0,3.37,18.94,396860.0,1.94,23.57
73,1168100026,20210914.0,2018.0,2.0,손익계산서,17776285.0,100.0,-13.29,322918.0,1.82,-53.24,66211.0,0.37,-83.32
74,1168100026,20210914.0,2019.0,2.0,손익계산서,18032187.0,100.0,1.44,-909491.0,-5.04,-381.65,-2163655.0,-12.0,-3367.82
75,1168100026,20210914.0,2020.0,2.0,손익계산서,17081423.0,100.0,-5.27,94605.0,0.55,110.4,-22529.0,-0.13,98.96
87,4428800028,20220226.0,2019.0,2.0,손익계산서,9159874.0,100.0,274.21,43119.0,0.47,-63.62,62041.0,0.68,-38.14
90,4428800028,20220226.0,2018.0,2.0,손익계산서,2447783.0,100.0,-8.93,118524.0,4.84,-26.63,100289.0,4.1,-35.65
93,4428800028,20220226.0,2017.0,2.0,손익계산서,2687899.0,100.0,9999.99,161533.0,6.01,9999.99,155840.0,5.8,9999.99
100,1018100030,20210914.0,2017.0,2.0,손익계산서,301034.0,100.0,12.65,-9292862.0,-3086.98,8.17,-8450890.0,-2807.29,2.19
103,1018100030,20210914.0,2018.0,2.0,손익계산서,2035288.0,100.0,576.1,-8265921.0,-406.13,-11.05,-5907911.0,-290.27,-30.09
106,1018100030,20210914.0,2019.0,2.0,손익계산서,4245380.0,100.0,108.59,-9188146.0,-216.43,11.16,-8736366.0,-205.79,47.88
109,1018100030,20210914.0,2020.0,2.0,손익계산서,3363424.0,100.0,-20.77,-12601066.0,-374.65,-37.14,-14910962.0,-443.33,-70.68
124,1308600034,20220219.0,2020.0,2.0,손익계산서,256373837.0,100.0,-4.87,44331910.0,17.29,-28.27,33584067.0,13.1,-19.3
127,1308600034,20220219.0,2019.0,2.0,손익계산서,269509351.0,100.0,36.99,61801975.0,22.93,71.84,41615266.0,15.44,46.08
130,1308600034,20220219.0,2018.0,2.0,손익계산서,196737365.0,100.0,17.48,35965264.0,18.28,41.43,28487616.0,14.48,52.59
133,1308600034,20220219.0,2017.0,2.0,손익계산서,167468967.0,100.0,30.16,25429435.0,15.18,-8.62,18669443.0,11.15,-14.74
136,6088100035,20220323.0,2018.0,2.0,손익계산서,465197.0,100.0,-9.42,40460.0,8.7,442.43,48397.0,10.4,482.82
139,6088100035,20220323.0,2017.0,2.0,손익계산서,513558.0,100.0,229.86,7459.0,1.45,-105.76,8304.0,1.62,-106.19
142,5068100036,20220227.0,2018.0,2.0,손익계산서,508717.0,100.0,5.92,12714.0,2.5,24.55,21488.0,4.22,106.48
145,5068100036,20220227.0,2017.0,2.0,손익계산서,480286.0,100.0,166.08,10208.0,2.13,578.72,10407.0,2.17,946.98
150,1058700037,20220218.0,2020.0,2.0,손익계산서,23865287.0,100.0,-2.9,2784348.0,11.67,66.32,2136654.0,8.95,51.01
153,1058700037,20220218.0,2019.0,2.0,손익계산서,24579022.0,100.0,9999.99,1674063.0,6.81,9999.99,1414949.0,5.76,9999.99
165,1018600044,20220302.0,2020.0,2.0,손익계산서,47275923.0,100.0,13.15,1009258.0,2.13,152.75,1581975.0,3.35,1438.41
168,1018600044,20220302.0,2019.0,2.0,손익계산서,41782569.0,100.0,-12.02,399311.0,0.96,-73.48,102832.0,0.25,-93.83
171,1018600044,20220302.0,2018.0,2.0,손익계산서,47491078.0,100.0,18.27,1505918.0,3.17,16.31,1665720.0,3.51,24.96
174,1018600044,20220302.0,2017.0,2.0,손익계산서,40155059.0,100.0,15.72,1294747.0,3.22,-1.46,1332970.0,3.32,4.21
177,1178100045,20210914.0,2016.0,2.0,손익계산서,1100634800.0,100.0,-6.93,42936485.0,3.9,-59.1,21512793.0,1.95,-63.95
178,1178100045,20210914.0,2017.0,2.0,손익계산서,1119895014.0,100.0,1.75,72864983.0,6.51,69.7,28882738.0,2.58,34.26
179,1178100045,20210914.0,2018.0,2.0,손익계산서,1171387344.0,100.0,4.6,67314171.0,5.75,-7.62,39235947.0,3.35,35.85
180,1178100045,20210914.0,2019.0,2.0,손익계산서,1108351145.0,100.0,-5.38,30358409.0,2.74,-54.9,-95166125.0,-8.59,-342.55
181,1178100045,20210914.0,2020.0,2.0,손익계산서,1056007269.0,100.0,-4.72,34935948.0,3.31,15.08,-311858096.0,-29.53,-227.7
196,1208600046,20220218.0,2020.0,2.0,손익계산서,29391857.0,100.0,8.2,607531.0,2.07,131.18,-5251594.0,-17.87,-11.93
199,1208600046,20220218.0,2019.0,2.0,손익계산서,27164793.0,100.0,5.22,-1948439.0,-7.17,-303.74,-4691672.0,-17.27,-558.66
202,1208600046,20220218.0,2018.0,2.0,손익계산서,25818216.0,100.0,-11.6,956327.0,3.7,-71.18,1022899.0,3.96,-60.01
205,1208600046,20220218.0,2017.0,2.0,손익계산서,29207523.0,100.0,38.0,3317739.0,11.36,-149.47,2557816.0,8.76,-119.56
212,1138100047,20220225.0,2020.0,2.0,손익계산서,46773943.0,100.0,-28.0,-30303683.0,-64.79,-298.33,-25566734.0,-54.66,-193.36
215,1138100047,20220225.0,2019.0,2.0,손익계산서,64961919.0,100.0,26.68,15279710.0,23.52,-48.45,27385275.0,42.16,-39.52
218,1138100047,20220225.0,2018.0,2.0,손익계산서,51278394.0,100.0,22.95,29640925.0,57.8,28.38,45282434.0,88.31,-37.94
221,1138100047,20220223.0,2017.0,2.0,손익계산서,41706225.0,100.0,-16.24,23088262.0,55.36,-292.56,72960046.0,174.94,1709.24
224,1028600048,20220214.0,2019.0,2.0,손익계산서,299499.0,100.0,3418.14,91586.0,30.58,5410.59,89884.0,30.01,5304.93
227,1028600048,20220214.0,2018.0,2.0,손익계산서,8513.0,100.0,0.53,1662.0,19.52,3.94,1663.0,19.53,-70.52
230,1028600048,20220214.0,2017.0,2.0,손익계산서,8468.0,100.0,-67.84,1599.0,18.88,-103.48,5641.0,66.62,-109.15
237,1288100053,20210914.0,2016.0,2.0,손익계산서,12853273.0,100.0,9.35,178009.0,1.38,6.12,199346.0,1.55,48.2
240,1288100053,20210914.0,2017.0,2.0,손익계산서,17191000.0,100.0,33.75,674000.0,3.92,278.63,639000.0,3.72,220.55
243,1288100053,20210914.0,2018.0,2.0,손익계산서,18899000.0,100.0,9.94,864000.0,4.57,28.19,843000.0,4.46,31.92
246,1288100053,20210914.0,2019.0,2.0,손익계산서,19040027.0,100.0,0.75,931935.0,4.89,7.86,944629.0,4.96,12.06
249,1288100053,20210914.0,2020.0,2.0,손익계산서,22613072.0,100.0,18.77,1113766.0,4.93,19.51,1007727.0,4.46,6.68
256,4168100058,20220307.0,2020.0,2.0,손익계산서,477580.0,100.0,-46.99,33694.0,7.06,-76.06,49865.0,10.44,-62.42
259,4168100058,20220307.0,2019.0,2.0,손익계산서,900988.0,100.0,28.82,140735.0,15.62,307.62,132681.0,14.73,281.42
263,1368100059,20210914.0,2017.0,2.0,손익계산서,6498354.0,100.0,3.39,798498.0,12.29,10.59,680559.0,10.47,-1.73
264,1368100059,20210914.0,2018.0,2.0,손익계산서,7752993.0,100.0,19.31,460012.0,5.93,-42.39,388772.0,5.01,-42.87
265,1368100059,20210914.0,2019.0,2.0,손익계산서,10206474.0,100.0,31.65,479950.0,4.7,4.33,440907.0,4.32,13.41
266,1368100059,20210914.0,2020.0,2.0,손익계산서,10704169.0,100.0,4.88,-1275658.0,-11.92,-365.79,-1190985.0,-11.13,-370.12
277,6698800060,20220306.0,2020.0,2.0,손익계산서,84068.0,100.0,9999.99,-129584.0,-154.14,-4357.65,-115359.0,-137.22,-4238.44
280,6698800060,20220306.0,2019.0,2.0,손익계산서,-inf,-inf,-inf,-2907.0,9999.99,9999.99,-2659.0,9999.99,9999.99
284,2298100063,20210914.0,2016.0,2.0,손익계산서,20524871.0,100.0,-21.88,-3939159.0,-19.19,-509.81,-5271488.0,-25.68,1832.41
285,2298100063,20210914.0,2017.0,2.0,손익계산서,20921093.0,100.0,1.93,72789.0,0.35,-101.85,-1170368.0,-5.59,-77.8
286,2298100063,20210914.0,2018.0,2.0,손익계산서,21521886.0,100.0,2.87,575655.0,2.67,690.85,-657459.0,-3.05,-43.82
287,2298100063,20210914.0,2019.0,2.0,손익계산서,19775893.0,100.0,-8.11,-2562355.0,-12.96,-545.12,-3326298.0,-16.82,-405.93
288,2298100063,20210914.0,2020.0,2.0,손익계산서,23039537.0,100.0,16.5,474160.0,2.06,118.5,3791904.0,16.46,214.0
303,1068100064,20220305.0,2020.0,2.0,손익계산서,8154001.0,100.0,78.44,37427.0,0.46,100.52,-2496685.0,-30.62,59.33
306,1068100064,20220305.0,2019.0,2.0,손익계산서,4569609.0,100.0,-64.19,-7233009.0,-158.29,1478.35,-6139610.0,-134.36,4789.78
309,1068100064,20220305.0,2018.0,2.0,손익계산서,12759761.0,100.0,-53.52,-458265.0,-3.59,-106.7,-125560.0,-0.98,-104.65
312,1068100064,20220305.0,2017.0,2.0,손익계산서,27449825.0,100.0,-16.2,6844677.0,24.94,-37.77,2697811.0,9.83,4.29
315,6058600065,20220227.0,2018.0,2.0,손익계산서,6523275.0,100.0,9999.99,103533.0,1.59,9999.99,79912.0,1.23,9999.99
318,5021400066,20211129.0,2016.0,2.0,손익계산서,223527.0,100.0,-52.09,69764.0,31.21,-53.9,69764.0,31.21,-53.9
321,5021400066,20211129.0,2017.0,2.0,손익계산서,400918.0,100.0,79.36,182938.0,45.63,162.22,177337.0,44.23,154.2
327,5021400066,20211129.0,2019.0,2.0,손익계산서,531203.0,100.0,37.82,154918.0,29.16,22.69,154918.0,29.16,33.46
330,5021400066,20211129.0,2020.0,2.0,손익계산서,395052.0,100.0,-25.63,72940.0,18.46,-52.92,57082.0,14.45,-63.15
337,2118700067,20220219.0,2020.0,2.0,손익계산서,32814523.0,100.0,-11.3,1061090.0,3.23,0.32,795266.0,2.42,-7.12
340,2118700067,20220219.0,2019.0,2.0,손익계산서,36996098.0,100.0,-37.57,1057654.0,2.86,60.58,856186.0,2.31,51.38
343,2118700067,20220219.0,2018.0,2.0,손익계산서,59264213.0,100.0,68.44,658635.0,1.11,63.17,565601.0,0.95,60.71
346,2118700067,20220219.0,2017.0,2.0,손익계산서,35184694.0,100.0,16.99,403649.0,1.15,723.28,351941.0,1.0,-4.03
351,1108100070,20220224.0,2019.0,2.0,손익계산서,2485146.0,100.0,-6.85,127806.0,5.14,30.41,75518.0,3.04,19.87
354,1108100070,20220224.0,2018.0,2.0,손익계산서,2668000.0,100.0,-11.83,98000.0,3.67,653.85,63000.0,2.36,80.0
357,1108100070,20220224.0,2017.0,2.0,손익계산서,3026000.0,100.0,49.51,13000.0,0.43,-64.86,-inf,-inf,-inf
366,2248100077,20220322.0,2020.0,2.0,손익계산서,3102419.0,100.0,61.85,311414.0,10.04,-28.12,333398.0,10.75,-26.05
369,2248100077,20220322.0,2019.0,2.0,손익계산서,1916841.0,100.0,17.95,433250.0,22.6,94.22,450818.0,23.52,100.41
372,2248100077,20220322.0,2018.0,2.0,손익계산서,1625110.0,100.0,-15.87,223069.0,13.73,58.46,224944.0,13.84,64.55
375,2248100077,20220322.0,2017.0,2.0,손익계산서,1931745.0,100.0,2.87,140772.0,7.29,-33.59,136703.0,7.08,-39.98
378,2248100078,20220307.0,2020.0,2.0,손익계산서,694929.0,100.0,-50.7,-28088.0,-4.04,-142.87,-11220.0,-1.61,-114.11
381,2248100078,20220307.0,2019.0,2.0,손익계산서,1409613.0,100.0,112.89,65513.0,4.65,-157.79,79534.0,5.64,-181.92
386,1078800081,20220307.0,2020.0,2.0,손익계산서,2538132.0,100.0,51.81,427282.0,16.83,57.3,398851.0,15.71,54.02
389,1078800081,20220307.0,2019.0,2.0,손익계산서,1671963.0,100.0,-18.66,271637.0,16.25,8.88,258962.0,15.49,19.59
392,1078800081,20220307.0,2018.0,2.0,손익계산서,2055543.0,100.0,42.55,249488.0,12.14,-15.57,216548.0,10.53,-23.45
395,1078800081,20220307.0,2017.0,2.0,손익계산서,1441963.0,100.0,9999.99,295500.0,20.49,9999.99,282872.0,19.62,9999.99
402,2098100082,20220316.0,2020.0,2.0,손익계산서,1557456589.0,100.0,37.63,302969768.0,19.45,147.67,364032718.0,23.37,183.22
405,2098100082,20220316.0,2019.0,2.0,손익계산서,1131587211.0,100.0,38.14,122329339.0,10.81,71.74,128535006.0,11.36,18.32
408,2098100082,20220316.0,2018.0,2.0,손익계산서,819142997.0,100.0,-4.39,71229036.0,8.7,-51.47,108633126.0,13.26,-17.09
411,2098100082,20220316.0,2017.0,2.0,손익계산서,856738968.0,100.0,32.84,146787192.0,17.13,146.39,131022290.0,15.29,42.23
414,1108600083,20220308.0,2020.0,2.0,손익계산서,456204.0,100.0,-48.41,-119172.0,-26.12,9999.99,-95651.0,-20.97,-353.45
417,1108600083,20220308.0,2019.0,2.0,손익계산서,884247.0,100.0,-20.61,437.0,0.05,-100.19,37740.0,4.27,-118.19
420,1108600083,20220308.0,2018.0,2.0,손익계산서,1113805.0,100.0,12.93,-230578.0,-20.7,-50.28,-207466.0,-18.63,-55.75
423,1108600083,20220308.0,2017.0,2.0,손익계산서,986296.0,100.0,21.07,-463747.0,-47.02,-284.51,-468821.0,-47.53,-290.31
427,1358100084,20220307.0,2020.0,2.0,손익계산서,7726461.0,100.0,55.61,1277621.0,16.54,945.82,1181883.0,15.3,738.31
430,1358100084,20220307.0,2019.0,2.0,손익계산서,4965330.0,100.0,-22.89,122165.0,2.46,54.9,140984.0,2.84,-34.53
433,1358100084,20220307.0,2018.0,2.0,손익계산서,6438974.0,100.0,17.08,78865.0,1.22,23.9,215326.0,3.34,220.78
436,1358100084,20220307.0,2017.0,2.0,손익계산서,5499842.0,100.0,-10.61,63653.0,1.16,-29.2,67126.0,1.22,-49.37
442,1268600088,20220228.0,2019.0,2.0,손익계산서,244306.0,100.0,-57.9,28548.0,11.69,-71.82,5090.0,2.08,-93.41
445,1268600088,20220228.0,2018.0,2.0,손익계산서,580325.0,100.0,-4.34,101323.0,17.46,-20.26,77210.0,13.3,-21.18
448,1268600088,20220228.0,2017.0,2.0,손익계산서,606676.0,100.0,-27.44,127061.0,20.94,3.92,97954.0,16.15,9.5
455,1358100089,20220306.0,2020.0,2.0,손익계산서,28335609.0,100.0,11.28,1254178.0,4.43,66.51,846727.0,2.99,105.18
458,1358100089,20220306.0,2019.0,2.0,손익계산서,25463616.0,100.0,28.28,753218.0,2.96,94.94,412676.0,1.62,455.66
461,1358100089,20220306.0,2018.0,2.0,손익계산서,19849438.0,100.0,29.23,386377.0,1.95,-62.61,74268.0,0.37,-90.35
464,1358100089,20220306.0,2017.0,2.0,손익계산서,15359635.0,100.0,0.84,1033266.0,6.73,8.11,769566.0,5.01,2.22
468,2138600091,20211013.0,2016.0,2.0,손익계산서,15487829.0,100.0,-15.2,4695650.0,30.32,-23.69,4342185.0,28.04,-28.9
469,2138600091,20211013.0,2017.0,2.0,손익계산서,25389167.0,100.0,63.93,7397889.0,29.14,57.55,8154376.0,32.12,87.79
470,2138600091,20211013.0,2018.0,2.0,손익계산서,23700642.0,100.0,-6.65,9259076.0,39.07,25.16,9264338.0,39.09,13.61
471,2138600091,20211013.0,2019.0,2.0,손익계산서,19795485.0,100.0,-16.48,4486355.0,22.66,-51.55,4511444.0,22.79,-51.3
472,2138600091,20211013.0,2020.0,2.0,손익계산서,16139471.0,100.0,-18.47,3136441.0,19.43,-30.09,4122079.0,25.54,-8.63
486,6318100095,20220302.0,2019.0,2.0,손익계산서,31818.0,100.0,9999.99,-214262.0,-673.4,77.37,-1222106.0,-3840.93,-78.4
489,6318100095,20220302.0,2018.0,2.0,손익계산서,-inf,-inf,-inf,-120798.0,9999.99,9999.99,-5658190.0,9999.99,9999.99
492,1018100096,20220224.0,2020.0,2.0,손익계산서,281815417.0,100.0,6.67,10666093.0,3.78,269.47,18495774.0,6.56,297.55
495,1018100096,20220224.0,2019.0,2.0,손익계산서,264191602.0,100.0,9999.99,2886887.0,1.09,9999.99,4652488.0,1.76,9999.99
498,1018100096,20220224.0,2018.0,2.0,손익계산서,67229262.0,100.0,23.95,-4688956.0,-6.97,-262.84,-4953130.0,-7.37,-399.44
501,1018100096,20220224.0,2017.0,2.0,손익계산서,54239164.0,100.0,6.64,2879493.0,5.31,20.97,1654145.0,3.05,224.61
504,6808100097,20210914.0,2016.0,2.0,손익계산서,588873.0,100.0,244.17,53159.0,9.03,-277.26,48664.0,8.26,-264.34
